target,family,bin,mae,degrad_%
temp,Ridge,D1 (1-24h),0.8801,0.0
temp,Ridge,D2 (25-48h),1.2211,38.7
temp,Ridge,D3 (49-72h),1.4157,60.9
temp,Ridge,D4 (73-100h),1.5066,71.2
temp,XGB,D1 (1-24h),0.8478,0.0
temp,XGB,D2 (25-48h),1.2238,44.4
temp,XGB,D3 (49-72h),1.4339,69.1
temp,XGB,D4 (73-100h),1.5278,80.2
temp,LGB,D1 (1-24h),0.8443,0.0
temp,LGB,D2 (25-48h),1.2129,43.7
temp,LGB,D3 (49-72h),1.4262,68.9
temp,LGB,D4 (73-100h),1.5211,80.1
temp,GRU,D1 (1-24h),2.5878,0.0
temp,GRU,D2 (25-48h),2.5978,0.4
temp,GRU,D3 (49-72h),2.5457,-1.6
temp,GRU,D4 (73-100h),2.5745,-0.5
temp,TCN,D1 (1-24h),1.827,0.0
temp,TCN,D2 (25-48h),2.2601,23.7
temp,TCN,D3 (49-72h),2.4747,35.5
temp,TCN,D4 (73-100h),2.5449,39.3
temp,Persistence,D1 (1-24h),2.7447,0.0
temp,Persistence,D2 (25-48h),2.9933,9.1
temp,Persistence,D3 (49-72h),3.1757,15.7
temp,Persistence,D4 (73-100h),3.1747,15.7
temp,Climatology,D1 (1-24h),3.0214,0.0
temp,Climatology,D2 (25-48h),3.0302,0.3
temp,Climatology,D3 (49-72h),3.041,0.6
temp,Climatology,D4 (73-100h),2.9195,-3.4
rain,Ridge,D1 (1-24h),0.3349,0.0
rain,Ridge,D2 (25-48h),0.3495,4.4
rain,Ridge,D3 (49-72h),0.3517,5.0
rain,Ridge,D4 (73-100h),0.3519,5.1
rain,XGB,D1 (1-24h),0.3453,0.0
rain,XGB,D2 (25-48h),0.3803,10.2
rain,XGB,D3 (49-72h),0.3874,12.2
rain,XGB,D4 (73-100h),0.3858,11.7
rain,LGB,D1 (1-24h),0.3178,0.0
rain,LGB,D2 (25-48h),0.3336,5.0
rain,LGB,D3 (49-72h),0.3352,5.5
rain,LGB,D4 (73-100h),0.3341,5.2
rain,GRU,D1 (1-24h),0.5835,0.0
rain,GRU,D2 (25-48h),0.6011,3.0
rain,GRU,D3 (49-72h),0.61,4.5
rain,GRU,D4 (73-100h),0.5419,-7.1
rain,TCN,D1 (1-24h),0.487,0.0
rain,TCN,D2 (25-48h),0.5038,3.4
rain,TCN,D3 (49-72h),0.4886,0.3
rain,TCN,D4 (73-100h),0.4947,1.6
rain,Persistence,D1 (1-24h),0.4475,0.0
rain,Persistence,D2 (25-48h),0.5038,12.6
rain,Persistence,D3 (49-72h),0.5202,16.2
rain,Persistence,D4 (73-100h),0.5217,16.6
rain,Climatology,D1 (1-24h),0.4362,0.0
rain,Climatology,D2 (25-48h),0.4358,-0.1
rain,Climatology,D3 (49-72h),0.4353,-0.2
rain,Climatology,D4 (73-100h),0.4328,-0.8
u10,Ridge,D1 (1-24h),0.82,0.0
u10,Ridge,D2 (25-48h),1.01,23.2
u10,Ridge,D3 (49-72h),1.0839,32.2
u10,Ridge,D4 (73-100h),1.1107,35.4
u10,XGB,D1 (1-24h),0.8018,0.0
u10,XGB,D2 (25-48h),1.0065,25.5
u10,XGB,D3 (49-72h),1.0906,36.0
u10,XGB,D4 (73-100h),1.1292,40.8
u10,LGB,D1 (1-24h),0.8007,0.0
u10,LGB,D2 (25-48h),1.0024,25.2
u10,LGB,D3 (49-72h),1.0807,35.0
u10,LGB,D4 (73-100h),1.1172,39.5
u10,GRU,D1 (1-24h),1.4905,0.0
u10,GRU,D2 (25-48h),1.484,-0.4
u10,GRU,D3 (49-72h),1.4924,0.1
u10,GRU,D4 (73-100h),1.5023,0.8
u10,TCN,D1 (1-24h),1.2141,0.0
u10,TCN,D2 (25-48h),1.3844,14.0
u10,TCN,D3 (49-72h),1.4569,20.0
u10,TCN,D4 (73-100h),1.4785,21.8
u10,Persistence,D1 (1-24h),1.2606,0.0
u10,Persistence,D2 (25-48h),1.5014,19.1
u10,Persistence,D3 (49-72h),1.6312,29.4
u10,Persistence,D4 (73-100h),1.6803,33.3
u10,Climatology,D1 (1-24h),1.3684,0.0
u10,Climatology,D2 (25-48h),1.3705,0.2
u10,Climatology,D3 (49-72h),1.3736,0.4
u10,Climatology,D4 (73-100h),1.3527,-1.1
v10,Ridge,D1 (1-24h),0.8052,0.0
v10,Ridge,D2 (25-48h),1.0106,25.5
v10,Ridge,D3 (49-72h),1.0759,33.6
v10,Ridge,D4 (73-100h),1.0936,35.8
v10,XGB,D1 (1-24h),0.7917,0.0
v10,XGB,D2 (25-48h),1.0206,28.9
v10,XGB,D3 (49-72h),1.0937,38.1
v10,XGB,D4 (73-100h),1.1089,40.1
v10,LGB,D1 (1-24h),0.7885,0.0
v10,LGB,D2 (25-48h),1.0118,28.3
v10,LGB,D3 (49-72h),1.0857,37.7
v10,LGB,D4 (73-100h),1.1035,39.9
v10,GRU,D1 (1-24h),1.4372,0.0
v10,GRU,D2 (25-48h),1.4009,-2.5
v10,GRU,D3 (49-72h),1.3591,-5.4
v10,GRU,D4 (73-100h),1.3926,-3.1
v10,TCN,D1 (1-24h),1.2235,0.0
v10,TCN,D2 (25-48h),1.3545,10.7
v10,TCN,D3 (49-72h),1.3891,13.5
v10,TCN,D4 (73-100h),1.4151,15.7
v10,Persistence,D1 (1-24h),1.1928,0.0
v10,Persistence,D2 (25-48h),1.4643,22.8
v10,Persistence,D3 (49-72h),1.6051,34.6
v10,Persistence,D4 (73-100h),1.6526,38.5
v10,Climatology,D1 (1-24h),1.306,0.0
v10,Climatology,D2 (25-48h),1.31,0.3
v10,Climatology,D3 (49-72h),1.311,0.4
v10,Climatology,D4 (73-100h),1.2893,-1.3
rh,Ridge,D1 (1-24h),4.765,0.0
rh,Ridge,D2 (25-48h),6.1891,29.9
rh,Ridge,D3 (49-72h),6.7836,42.4
rh,Ridge,D4 (73-100h),7.0023,47.0
rh,XGB,D1 (1-24h),4.6434,0.0
rh,XGB,D2 (25-48h),6.1866,33.2
rh,XGB,D3 (49-72h),6.7815,46.0
rh,XGB,D4 (73-100h),6.9867,50.5
rh,LGB,D1 (1-24h),4.6356,0.0
rh,LGB,D2 (25-48h),6.1522,32.7
rh,LGB,D3 (49-72h),6.7317,45.2
rh,LGB,D4 (73-100h),6.9431,49.8
rh,GRU,D1 (1-24h),6.9808,0.0
rh,GRU,D2 (25-48h),7.4589,6.8
rh,GRU,D3 (49-72h),7.7323,10.8
rh,GRU,D4 (73-100h),7.8196,12.0
rh,TCN,D1 (1-24h),6.0233,0.0
rh,TCN,D2 (25-48h),7.113,18.1
rh,TCN,D3 (49-72h),7.5794,25.8
rh,TCN,D4 (73-100h),7.7635,28.9
rh,Persistence,D1 (1-24h),12.2014,0.0
rh,Persistence,D2 (25-48h),13.3633,9.5
rh,Persistence,D3 (49-72h),13.9614,14.4
rh,Persistence,D4 (73-100h),13.7281,12.5
rh,Climatology,D1 (1-24h),12.9429,0.0
rh,Climatology,D2 (25-48h),12.9812,0.3
rh,Climatology,D3 (49-72h),13.0177,0.6
rh,Climatology,D4 (73-100h),12.4857,-3.5
press,Ridge,D1 (1-24h),0.8269,0.0
press,Ridge,D2 (25-48h),1.6542,100.1
press,Ridge,D3 (49-72h),2.0681,150.1
press,Ridge,D4 (73-100h),2.1938,165.3
press,XGB,D1 (1-24h),0.9135,0.0
press,XGB,D2 (25-48h),1.7604,92.7
press,XGB,D3 (49-72h),2.1245,132.6
press,XGB,D4 (73-100h),2.2443,145.7
press,LGB,D1 (1-24h),0.9127,0.0
press,LGB,D2 (25-48h),1.7349,90.1
press,LGB,D3 (49-72h),2.1021,130.3
press,LGB,D4 (73-100h),2.2397,145.4
press,GRU,D1 (1-24h),6.1566,0.0
press,GRU,D2 (25-48h),6.3258,2.7
press,GRU,D3 (49-72h),6.4576,4.9
press,GRU,D4 (73-100h),6.5436,6.3
press,TCN,D1 (1-24h),9.2531,0.0
press,TCN,D2 (25-48h),9.7103,4.9
press,TCN,D3 (49-72h),10.1662,9.9
press,TCN,D4 (73-100h),10.3895,12.3
press,Persistence,D1 (1-24h),1.7962,0.0
press,Persistence,D2 (25-48h),2.4873,38.5
press,Persistence,D3 (49-72h),3.0214,68.2
press,Persistence,D4 (73-100h),3.3334,85.6
press,Climatology,D1 (1-24h),2.7482,0.0
press,Climatology,D2 (25-48h),2.7682,0.7
press,Climatology,D3 (49-72h),2.7849,1.3
press,Climatology,D4 (73-100h),2.7735,0.9
cloud,Ridge,D1 (1-24h),20.8202,0.0
cloud,Ridge,D2 (25-48h),24.6545,18.4
cloud,Ridge,D3 (49-72h),25.73,23.6
cloud,Ridge,D4 (73-100h),26.2295,26.0
cloud,XGB,D1 (1-24h),20.5731,0.0
cloud,XGB,D2 (25-48h),24.9661,21.4
cloud,XGB,D3 (49-72h),26.2857,27.8
cloud,XGB,D4 (73-100h),26.817,30.3
cloud,LGB,D1 (1-24h),20.4847,0.0
cloud,LGB,D2 (25-48h),24.8081,21.1
cloud,LGB,D3 (49-72h),26.1423,27.6
cloud,LGB,D4 (73-100h),26.6331,30.0
cloud,GRU,D1 (1-24h),20.9499,0.0
cloud,GRU,D2 (25-48h),21.6139,3.2
cloud,GRU,D3 (49-72h),21.8575,4.3
cloud,GRU,D4 (73-100h),21.7662,3.9
cloud,TCN,D1 (1-24h),19.9771,0.0
cloud,TCN,D2 (25-48h),22.7047,13.7
cloud,TCN,D3 (49-72h),23.4941,17.6
cloud,TCN,D4 (73-100h),23.8049,19.2
cloud,Persistence,D1 (1-24h),20.2609,0.0
cloud,Persistence,D2 (25-48h),25.1384,24.1
cloud,Persistence,D3 (49-72h),27.2088,34.3
cloud,Persistence,D4 (73-100h),28.277,39.6
cloud,Climatology,D1 (1-24h),27.4765,0.0
cloud,Climatology,D2 (25-48h),27.4567,-0.1
cloud,Climatology,D3 (49-72h),27.4768,0.0
cloud,Climatology,D4 (73-100h),27.4657,-0.0
